shape,depth,branching_factor,nodes,leaves_authorized,status,spawn_p50_ns,spawn_p95_ns,authorize_p50_ns,authorize_p95_ns,authorize_p99_ns,authorize_throughput_ops_per_second,state_bytes_after_checkpoint,reopen_latency_ns
spine_fanout,1,1,2,1,passed,6754300,6754300,7034700,7034700,7034700,131.15614138632043,294912,29969300
complete_tree,1,1,2,1,passed,6494900,6494900,6671400,6671400,6671400,143.93045280520454,294912,5028400
spine_fanout,1,2,3,2,passed,6454650,6550700,9790100,12992300,12992300,148.96691444830103,323584,5176900
complete_tree,1,2,3,2,passed,6202800,6289700,9625950,12916600,12916600,149.67147112088963,323584,4939700
spine_fanout,1,4,5,4,passed,6790450,7650900,15995100,25582000,25582000,151.58118119635446,360448,5541800
complete_tree,1,4,5,4,passed,6320050,6430100,16958500,27008500,27008500,143.7571653962127,360448,5010400
spine_fanout,1,8,9,8,passed,6362500,6613700,30629200,53114600,53114600,145.84594293048252,430080,5974600
complete_tree,1,8,9,8,passed,6505750,7285200,29105250,51463100,51463100,150.70766668738898,430080,5872500
spine_fanout,2,1,3,1,passed,6359550,6443100,6483700,6483700,6483700,149.3139026174727,307200,5008400
complete_tree,2,1,3,1,passed,6327600,6465700,6360900,6360900,6360900,151.10076910291474,307200,5018600
spine_fanout,2,2,5,3,passed,6648250,6804200,13833800,20381900,20381900,142.7592507994518,339968,5143300
complete_tree,2,2,7,4,passed,6504450,7814900,16782250,26363800,26363800,146.7044675177971,380928,5127300
spine_fanout,2,4,9,7,passed,6425050,7646700,25753400,44712800,44712800,151.66517529244297,417792,5075200
complete_tree,2,4,21,16,passed,6427600,7481900,56261650,105882900,105882900,146.2287602725704,622592,5135400
spine_fanout,2,8,17,15,passed,6364100,7548100,53279800,97701000,97701000,148.30340900102823,573440,5417400
complete_tree,2,8,73,64,passed,6526150,7694900,116502750,120522600,120886000,137.35114033638152,1650688,5594800
spine_fanout,4,1,5,1,passed,6474750,6566400,6587100,6587100,6587100,146.73083695269398,323584,5059200
complete_tree,4,1,5,1,passed,6827250,7590200,6755100,6755100,6755100,143.4617315831002,323584,5871500
spine_fanout,4,2,9,5,passed,6610600,7921200,19959300,33273900,33273900,144.87504527345166,401408,5405900
complete_tree,4,2,31,16,passed,6566900,7979200,56628400,105631200,105631200,146.6303878648691,712704,5500000
spine_fanout,4,4,17,13,passed,6348700,7638900,45156700,83485200,83485200,150.65319749822982,552960,5160700
complete_tree,4,4,341,256,passed,6849450,7917600,131422300,140442900,141642700,122.64561735707606,6144000,8450100
spine_fanout,4,8,33,29,passed,6443100,7608000,102612700,112563400,112813800,142.50313138346462,872448,5222700
complete_tree,4,8,4681,4096,passed,7091550,8310300,305600200,459392000,485922600,52.51106233473855,87801856,61623100
spine_fanout,8,1,9,1,passed,6552350,6798600,6434100,6434100,6434100,148.77188806403143,360448,5547800
complete_tree,8,1,9,1,passed,6556900,7672000,7017500,7017500,7017500,137.59511262159967,360448,5065100
spine_fanout,8,2,17,9,passed,6568350,7371000,34896300,61491300,61491300,141.5973757286365,507904,5136600
complete_tree,8,2,511,256,passed,7043400,8280400,127521850,137145000,139004000,121.8130135031153,7688192,8502100
spine_fanout,8,4,33,25,passed,6689050,7698200,89346800,111408900,111440900,143.52572669945943,843776,5394400
complete_tree,8,4,87381,65536,skipped_node_cap,,,,,,,,
spine_fanout,8,8,65,57,passed,6810750,7726300,116010900,119412400,120510500,135.95239662609083,1503232,5356000
complete_tree,8,8,19173961,16777216,skipped_node_cap,,,,,,,,
